Genesis	ᎼᏏ ᎢᎬᏱᏱ ᎤᏬᏪᎳᏅᎯ
All in whose nostrils was the breath of the spirit of life, of all that was on the dry land, died.	ᎾᏍᎩ ᎾᏂᎥ ᏗᏃᏴᏐᎵ ᎠᏅᏬᎳᏕᏍᎬ ᏥᏓᏅᎿᏗᏍᏙᏗ, ᏂᎦᏗᏳ ᎾᏍᎩ ᎦᏙᎯ ᎤᎧᏲᏛᎯ ᎠᏁᎯ ᏥᎩ, ᏚᏂᎵᏬᏤᎢ.
Every living thing was destroyed that was on the surface of the ground, including man, livestock, creeping things, and birds of the sky. They were destroyed from the earth. Only Noah was left, and those who were with him in the ship.	ᎠᎴ ᏂᎦᏗᏳ ᏧᎾᏓᎴᏅᏛ ᎨᏥᏛᏔᏁᎢ, ᎾᏍᎩ ᎦᏙᎯ ᎦᏚᎢ ᎠᏁᎯ, ᏴᏫ, ᎠᎴ ᏅᎩ-ᏗᏂᏅᏌᏗ, ᎠᎴ ᎠᎾᏓᎾᏏᏂᏙᎯ, ᎠᎴ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ; ᎾᏍᎩ ᎨᏥᏛᏔᏁ ᎡᎶᎯ; ᏃᏯᏃ ᎤᏩᏒ ᎤᎵᏃᎯᏰᎢ, ᎾᏃ ᎾᏍᎩ ᎢᏧᎳᎭ ᏥᏳᎯ ᎤᎾᏣᏅᎯ.
The waters prevailed on the earth one hundred fifty days.	ᎠᎴ ᎦᏃᎱᎩᏍᎬ ᎧᏁᏉᏥᏎ ᎡᎶᎯ ᎠᏍᎪᎯᏧᏈ ᎯᏍᎦᏍᎪᎯ ᏧᏒᎯᏛ.
Chapter 8	ᎠᏯᏙᎸᎢ 8
God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided.	ᎤᏁᎳᏅᎯᏃ, ᎤᏅᏓᏕ ᏃᏯ, ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ ᎨᏒᎢ, ᎠᎴ ᏂᎦᏗᏳ ᏅᎩ-ᏗᏂᏅᏌᏗ ᎾᏍᎩ ᏥᏳᎯ ᏧᎾᏣᎡᎢ; ᎤᏁᎳᏅᎯᏃ ᏄᏩᏂᏌᏁ ᎤᏃᎸᏁ ᎡᎶᎯ, ᎠᎴ ᎠᎹ ᎦᏅᏬᏍᎨᎢ.
The deep's fountains and the sky's windows were also stopped, and the rain from the sky was restrained.	ᎠᎴ ᎾᏍᏉ ᎠᏍᏛᎩ ᎨᏒ ᏕᎦᏄᎪᎬᎢ, ᎠᎴ ᎠᏦᎳᏅ ᎦᎸᎶᎢ ᏚᎵᏍᏚᏁᎢ, ᎠᎴ ᎦᎸᎳᏗ ᏗᎦᏍᎬ ᎠᏥᎾᎯᏍᏔᏁᎢ.
The waters receded from the earth continually. After the end of one hundred fifty days the waters decreased.	ᎠᎴ ᎠᎹ ᏂᎪᎯᎸ ᎠᏓᏅᏍᎨ ᎡᎶᎯ; ᎠᏍᎪᎯᏧᏈᏃ ᎯᏍᎦᏍᎪᎯ ᏫᏄᏒᎸ ᎿᏉ ᎦᏅᏬᏍᎨ ᎠᎹ.
The ship rested in the seventh month, on the seventeenth day of the month, on Ararat's mountains.	ᏥᏳᏃ ᎦᎵᏉᎩᏁ ᎧᎳᏩᏗᏒ ᎦᎵᏆᏚᏏᏁ ᎢᎪᎯ ᎤᏝᏗᏤ ᎠᎳᎳᏗ ᏙᏓᎸᎢ.
The waters receded continually until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains were seen.	ᎠᎴ ᎠᎹ ᎠᎦᏲᎶᏍᎨ ᏂᎪᎯᎸ ᎠᏍᎪᎯᏁ ᎧᎸᎢ ᎢᏯᏍᏗ; ᎠᏍᎪᎯᏁᏃ ᎧᎸᎢ, ᎢᎬᏱᏱᏉ ᎢᎪᎯ ᎾᏍᎩ ᎧᎸᎢ ᏙᏓᎸ ᏧᏍᎪᎵ ᏗᎬᎪᏩᏛᏗ ᎢᎨᏎᎢ.
It happened at the end of forty days, that Noah opened the window of the ship which he had made,	ᎯᎠᏃ ᏄᎵᏍᏔᏁ ᏅᎦᏍᎪᎯ ᏫᏄᏒᎸ, ᎾᏍᎩ ᏃᏯ ᎠᏦᎳᏅ ᎤᏍᏚᎢᏎ ᏥᏳᎯ ᎾᏍᎩ ᏧᏬᏢᏁᎢ;
and he sent out a raven. It went back and forth, until the waters were dried up from the earth.	ᎠᎴ ᎪᎳᏅ ᎤᏅᏎᎢ, ᎾᏍᎩ ᎤᏄᎪᏨ ᎠᏨᏏᏰᏍᎨᎢ ᎬᏂ ᎠᎹ ᎤᎧᏲᏐᏅ ᎡᎶᎯ.
He sent out a dove from him, to see if the waters were abated from the surface of the ground,	ᎠᎴ ᎾᏍᏉ ᎢᎤᏅᏎ ᎫᎴᏗᏍᎪᏂᎯ ᎤᏙᎴᎰᎯᏍᏗᏱ ᎠᎹ ᎤᏅᏬᏒ ᎦᏙᎯ ᎠᎴ ᏄᏅᏬᏒᎾ ᎨᏒᎢ;
but the dove found no place to rest her foot, and she returned to him into the ship; for the waters were on the surface of the whole earth. He put out his hand, and took her, and brought her to him into the ship.	ᎠᏎᏃ ᎫᎴ-ᏗᏍᎪᏂᎯ ᎤᏠᏤᏉ ᎢᎸᎯᏢ ᏧᎳᏏᏗᏱ, ᎠᎴ ᎢᎤᏣᏁᎵᎴ ᏔᎵᏁ ᏥᏳᎯ, ᎠᎹᏰᏃ ᎠᏏᏉ ᎤᏭᏝᎡ ᏂᎬᎾᏛ ᎡᎶᎯ. ᎠᎴ ᏭᏙᏯᏅᎯᏕᎢ, ᎠᎴ ᏭᏂᏴᎮᎢ, ᎠᎴ ᎤᏴᏔᏁ ᏥᏳᎯ.
He stayed yet another seven days; and again he sent the dove out of the ship.	ᎠᎴ ᎠᏏ ᎦᎵᏉᎩ ᏄᏒᎴᎢ ᏔᎵᏁᏃ ᎤᏅᏎ ᎫᎴ-ᏗᏍᎪᏂᎯ ᎤᏄᎪᏫᏎ ᏥᏳᎯ;
The dove came back to him at evening, and, behold, in her mouth was an olive leaf plucked off. So Noah knew that the waters were abated from the earth.	ᎠᎴ ᎫᎴ-ᏗᏍᎪᏂᎯ ᎤᏣᏁᎵᎴ ᎤᏒᎢ; ᎠᎴ ᎬᏂᏳᏉ ᎣᎵᏩ ᎤᎦᎶᎬ ᎢᏤ ᎤᏅᏍᎦᎴᎢ; ᎾᏍᎩᏃ ᏃᏯ ᎤᏙᎴᎰᏎ ᎠᎹ ᎤᏅᏬᏒ ᎡᎶᎯ.
He stayed yet another seven days, and sent out the dove; and she didn't return to him any more.	ᎠᎴ ᎠᏏ ᎦᎵᏉᎩ ᏄᏒᎴᎢ; ᎿᏉ ᎠᎴ ᎤᏅᏎ ᎫᎴ-ᏗᏍᎪᏂᎯ; ᎾᏍᎩᏃ ᎥᏝ ᏔᎵᏁ ᏳᎷᏤᎴᎢ.
It happened in the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noah removed the covering of the ship, and looked. He saw that the surface of the ground was dried.	ᎯᎠᏃ ᏄᎵᏍᏔᏁ ᏑᏓᎵᏧᏈ ᏌᏉᏃ ᎤᏕᏘᏴᏌᏗᏒᎢ, ᎢᎬᏱᏱ ᎧᎸᎢ, ᎢᎬᏱᏱᏉ ᎢᎪᎯ ᎾᏍᎩ ᎧᎸᎢ, ᎠᎹ ᎤᎧᏲᏐᏁ ᎡᎶᎯ; ᎠᎴ ᏃᏯ ᎤᏩᏁᏎ ᏥᏳ, ᎠᎴ ᏫᏚᎧᎿᏁᎢ, ᎬᏂᏳᏉᏃ, ᎦᏙᎯ ᎦᏚ ᎤᎧᏲᏐᏅᎯ ᎨᏎᎢ.
In the second month, on the twenty-seventh day of the month, the earth was dry.	ᏔᎵᏁᏃ ᎧᎸᎢ, ᎦᎵᏉᎩᏦᏁᏏᏁ ᎢᎪᎯ ᎾᏍᎩ ᎧᎸᎢ, ᎡᎶᎯ ᎤᎧᏲᏐᏁᎢ.
God spoke to Noah, saying,	ᎤᏁᎳᏅᎯᏃ ᎤᏁᏤᎴ ᏃᏯ, ᎯᎠ ᏄᏪᏎᎢ,
"Go out of the ship, you, and your wife, and your sons, and your sons' wives with you.	ᎢᏣᏣᎢ ᏥᏳᎯ, ᏂᎯ, ᎠᎴ ᏣᏓᎵᎢ, ᎠᎴ ᏗᏤᏥ ᎠᎴ ᏗᏤᏥ ᏧᎾᏓᎵᎢ.
Bring out with you every living thing that is with you of all flesh, including birds, livestock, and every creeping thing that creeps on the earth, that they may breed abundantly in the earth, and be fruitful, and multiply on the earth."	ᏘᏯᎢ ᏂᎦᏛ ᏗᏅᏃᏛ ᎾᏍᎩ ᏥᏣᏣᎠ, ᏂᎦᏗᏳ ᎤᏂᏇᏓᎵ ᏥᎩ, ᎾᏍᎩ ᎠᏂᏃᎯᎵᏙᎯ, ᎠᎴ ᏅᎩ-ᏗᏂᏅᏌᏗ, ᎠᎴ ᏄᎾᏓᎴᏒ ᎠᎾᏓᎾᏏᏂᏙᎯ ᎾᏍᎩ ᎡᎶᎯ ᏣᎾᏓᎾᏏᏂᏙᎭ; ᎾᏍᎩ ᎤᏣᏘ ᎤᏂᏁᏉᎢᏍᏗᏱ ᎡᎶᎯ, ᎠᎴ ᎤᏂᏁᏉᏣᏘ ᎢᏳᎵᏍᏙᏗᏱ, ᎠᎴ ᎤᏂᎪᏙᎯᏍᏗᏱ ᎡᎶᎯ.
Noah went out, with his sons, his wife, and his sons' wives with him.	ᎿᏉᏃ ᎤᎾᏣᎢᏎᎢ, ᏃᏯ, ᎠᎴ ᎾᏍᎩ ᏧᏪᏥ, ᎠᎴ ᎤᏓᎵᎢ, ᎠᎴ ᏧᏪᏥ ᏧᎾᏓᎵᎢ.
Every animal, every creeping thing, and every bird, whatever moves on the earth, after their families, went out of the ship.	ᎾᏂᎥ ᏅᎩ-ᏗᏂᏅᏌᏗ, ᎾᏂᎥ ᎠᎾᎵᏖᎸᎲᏍᎩ, ᎠᎴ ᎾᏂᎥ ᎠᏂᏃᎯᎵᏙᎯ, ᎠᎴ ᎾᏍᎩ ᏄᎾᏓᎴᏒ ᎡᎶᎯ ᏣᎾᎵᏖᎸᎲᏍᎪᎢ, ᎤᏂᏠᏱᎭ ᏕᎨᏌᏗᏒ ᎤᎾᏣᎢᏎ ᏥᏳᎯ.
Noah built an altar to Yahweh, and took of every clean animal, and of every clean bird, and offered burnt offerings on the altar.	ᏃᏯᏃ ᏱᎰᏩ ᎤᏬᏢᎾᏁᎴ ᎠᏥᎸ-ᎨᎳᏍᏗᏱ; ᎠᎴ ᎾᏂᎥ ᎠᏂᎦᏓᎭ ᏂᎨᏒᎾ ᏅᎩ-ᏗᏂᏅᏌᏗ, ᎠᎴ ᎾᏂᎥ ᎠᏂᎦᏓᎭ ᏂᎨᏒᎾ ᎠᏂᏃᎯᎵᏙᎯ ᏚᏯᏅᎮᎢ, ᎠᎴ ᎤᎵᏍᎪᎸᏔᏁ ᎠᏥᎸ-ᎨᎳᏍᏙᏗ ᎠᏥᎸ-ᎨᎳᏍᏗᏱ.
Yahweh smelled the pleasant aroma. Yahweh said in his heart, "I will not again curse the ground any more for man's sake, because the imagination of man's heart is evil from his youth; neither will I ever again strike everything living, as I have done.	ᏱᎰᏩᏃ ᎤᏪᏩᏒᏤ ᎤᎦᎾᏍᏛ ᎦᏩᏒᎩ; ᏱᎰᏩᏃ ᎤᎿᏫᏱ ᎯᎠ ᏄᏪᏎᎢ, ᎥᏝ ᎦᏙᎯ ᏔᎵᏁ ᏴᎦᏥᏍᎦᎩ ᏴᏫᏉ ᏴᎦᏥᏍᏛᏗᏍᏓ; ᏴᏫᏍᎩᏂᏃᏅ ᎠᏓᏅᏖᏍᎬ ᎤᏲᏉ ᏗᏛᏍᎬ ᎢᏴᏛ ᏅᏓᎬᏩᏓᎴᏅᏛ; ᎥᏝ ᎠᎴ ᏔᎵᏁ ᏂᎦᎥ ᎬᏃᏛ ᏴᎦᏥᏛᏓ ᎾᏍᎩᏯ ᎾᏆᏛᏁᎸᎢ.
While the earth remains, seed time and harvest, and cold and heat, and summer and winter, and day and night shall not cease."	ᎡᎶᎯ ᎢᎪᎯᏛ ᎨᏒᎢ, ᎥᏝ ᎤᎵᏍᏆᏗᏍᏗ ᏱᎩ ᎠᏫᏍᏗᏱ ᎠᎴ ᎤᎦᏛᎾᏨᎯ ᎦᏟᏐᏗᏱ ᎨᏒᎢ, ᎤᏴᏜᏃ ᎠᎴ ᎤᏗᎴᎩ ᎨᏒᎢ, ᎪᎩᏃ ᎠᎴ ᎪᎳ, ᎢᎦᏃ ᎠᎴ ᏒᏃᏱ.
Chapter 9	ᎠᏯᏙᎸᎢ 9
God blessed Noah and his sons, and said to them, "Be fruitful, and multiply, and replenish the earth.	ᎤᏁᎳᏅᎯᏃ ᎣᏍᏛ ᏚᏁᏤᎴ ᏃᏯ ᎠᎴ ᎾᏍᎩ ᏧᏪᏥ; ᎠᎴ ᎯᎠ ᏂᏚᏪᏎᎴᎢ; ᎢᏥᏁᏉᏣᏖᏍᏗ, ᎠᎴ ᎢᏥᎪᏙᏍᎨᏍᏗ, ᎠᎴ ᎢᏥᎧᎵᏣ ᎡᎶᎯ.
The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that the ground teems with, and all the fish of the sea are delivered into your hand.	ᎠᎴ ᏂᎯ ᎢᏥᎾᏰᏍᎩ ᎠᎴ ᎢᏥᏍᎦᎢᎯ ᎨᏎᏍᏗ ᏄᎾᏓᎴᏒ ᏗᏅᏃᏛ ᎡᎶᎯ ᏣᏁᎭ, ᎠᎴ ᏂᎦᏗ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ, ᎠᎴ ᏂᎦᏗ ᎡᎶᎯ ᎠᎾᎵᏖᎸᎲᏍᎩ ᏥᎩ, ᎠᎴ ᏂᎦᏗ ᎠᏣᏘ ᎠᎺᏉᎯ ᎠᏁᎯ; ᏂᎯ ᏤᏥᏲᎯᏎᎸᎯ.
Every moving thing that lives will be food for you. As the green herb, I have given everything to you.	ᏂᎦᎥ ᎠᎾᎵᏖᎸᎲᏍᎩ ᏗᏅᏃᏛ ᏥᎩ ᏂᎯ ᎢᏣᎵᏍᏓᏴᏗ ᎨᏎᏍᏗ; ᎢᏤ ᎦᏄᎸᏒ ᏗᏨᏲᎯᏎᎸᎯ ᏥᎩ, ᎾᏍᎩᏯ ᏂᎦᏛ ᏕᏨᏲᎯᏏ;
But flesh with its life, its blood, you shall not eat.	ᎤᏇᏓᎸᏍᎩᏂᏃᏅ ᎬᏅ ᎬᏩᏠᏯᏍᏗ, ᎾᏍᎩ ᎤᎩᎬᎯ ᏥᎩ, ᎥᏝ ᎢᏣᎵᏍᏓᏴᏙᏗ ᏱᎨᏎᏍᏗ.
I will surely require your blood of your lives. At the hand of every animal I will require it. At the hand of man, even at the hand of every man's brother, I will require the life of man.	ᎠᎴ ᎤᏙᎯᏳᎯᏯ ᎢᏥᎩᎬ ᎾᏍᎩ ᏕᏨᎿᏗᏍᏛ ᏗᎩᎬᏩᎶᏙᏗ ᎨᏎᏍᏗ; ᎾᏂᎥ ᏗᏅᏃᏛ ᎾᏍᎩ ᏗᎦᏥᎬᏩᎶᏓᏁᏗ ᎨᏎᏍᏗ, ᎠᎴ ᎾᏍᏉ ᏴᏫ; ᎾᏂᎥ ᏴᏫ ᏓᎾᏓᏅᏢᎢ, ᎾᏍᎩ ᏴᏫ ᎬᏅ ᏗᎦᏥᎬᏩᎶᏓᏁᏗ ᎨᏎᏍᏗ.
Whoever sheds man's blood, his blood will be shed by man, for God made man in his own image.	ᎩᎶ ᏴᏫ ᎤᎩᎬ ᎠᏤᏪᎮᏍᏗ ᏴᏫᏉ ᎾᏍᏉ ᎤᎩᎬ ᎤᏤᏪᏗ ᎨᏎᏍᏗ; ᎤᏁᎳᏅᎯᏰᏃ ᎤᏩᏒ ᏚᏓᏟᎶᏍᏔᏅ ᏴᏫ ᎤᏬᏢᏅ.
Be fruitful and multiply. Increase abundantly in the earth, and multiply in it."	ᏂᎯᏃ ᎢᏥᏁᏉᏣᏖᏍᏗ, ᎠᎴ ᎢᏥᎪᏙᏍᎨᏍᏗ ᎤᏣᏘ ᏕᏥᎾᏄᎪᏫᏍᎨᏍᏗ ᎡᎶᎯ, ᎠᎴ ᎾᎿ ᎢᏥᎪᏙᏍᎨᏍᏗ.
God spoke to Noah and to his sons with him, saying,	ᎤᏁᎳᏅᎯᏃ ᏚᏁᏤᎴ ᏃᏯ, ᎠᎴ ᎾᏍᎩ ᏧᏪᏥ, ᎯᎠ ᏄᏪᏎᎢ,
"As for me, behold, I establish my covenant with you, and with your offspring after you,	ᎠᎴ ᎠᏴ, ᎬᏂᏳᏉ ᎠᏴ, ᎧᏃᎮᏛ ᏕᏨᏯᏠᎢᏍᏓᏁᎭ ᏂᎯ, ᎠᎴ ᎢᏣᏁᏢᏔᏅᏛ ᎨᏒᎢ.
and with every living creature that is with you: the birds, the livestock, and every animal of the earth with you, of all that go out of the ship, even every animal of the earth.	ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ, ᏥᏕᎭᏘᏁᎭ, ᎾᏍᎩ ᎠᏂᏃᎯᎵᏙᎯ, ᏅᎩ ᏗᏂᏅᏌᏗ, ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ ᎡᎶᎯ ᎠᏁᎯ ᏥᏕᎭᏘᏁᎭ; ᎾᏍᎩ ᎾᏂᎥ ᏧᎾᏣᎢᏒ ᏥᏳᎯ, ᎠᎴ ᏥᎾᏂᎥᏉ ᏗᏅᏃᏛ ᎡᎶᎯ ᏣᏁᎭ.
I will establish my covenant with you: all flesh will not be cut off any more by the waters of the flood, neither will there ever again be a flood to destroy the earth."	ᎠᎴ ᎧᏃᎮᏛ ᏕᏨᏯᏠᎢᏍᏔᏁᎭ, ᎥᏝ ᎠᎴ ᏔᎵᏁ ᏂᎦᏛ ᎤᏇᏓᎵ ᎦᏃᎱᎩᏍᎬ ᎨᏥᏒᎲᏍᏙᏗ ᏱᎨᏎᏍᏗ; ᎥᏝ ᎠᎴ ᏔᎵᏁ ᎤᏃᎱᎪᏗ ᏱᎨᏎᏍᏗ ᎡᎶᎯ ᎤᏲᏍᏙᏗᏱ.
God said, "This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ, ᎯᎠ ᎾᏍᎩ ᎤᏰᎸᏛ ᎧᏃᎮᏛ ᏥᏕᏨᏯᏠᎢᏍᏓᏁᎭ ᏂᎯ ᎠᎴ ᎾᏂᏗᏅᏃᏛ ᏥᏕᎭᏘᏁᎭ, ᎾᏍᎩ ᎤᎵᏍᏆᏗᏍᏗ ᏂᎨᏒᎾ ᎢᏣᏓᏁᏟᏴᏏᏒ ᎢᎪᎯᏛ;
I set my rainbow in the cloud, and it will be for a sign of a covenant between me and the earth.	[ᎬᏂᏳᏉ,] ᏂᏅᎪᎳᏛᏓ ᎤᎶᎩᎸᎢ, ᎠᎴ ᎾᏍᎩ ᎤᏰᎸᏛ ᎨᏎᏍᏗ ᎧᏃᎮᏛ ᏙᎦᏠᎯᏍᏛ ᎡᎶᎯ.
It will happen, when I bring a cloud over the earth, that the rainbow will be seen in the cloud,	ᎠᎴ ᎯᎠ ᏅᏓᎦᎵᏍᏔᏂ ᎿᏉ ᏥᎶᎩᎳᏗᏍᏗᏍᎨᏍᏗ ᎡᎶᎯ, ᎤᏅᎪᎳᏛ ᎠᎪᏩᏛᏗ ᏂᎦᎵᏍᏗᏍᎨᏍᏗ ᎤᎶᎩᎸᎢ.
and I will remember my covenant, which is between me and you and every living creature of all flesh, and the waters will no more become a flood to destroy all flesh.	ᎠᎴ ᎦᏅᏓᏗᏍᎨᏍᏗ ᎧᏃᎮᏛ ᏕᏨᏯᏠᎢᏍᏓᏁᎸᎢ, ᏂᎯ ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ ᎤᏂᏇᏓᎵ ᏥᎩ; ᎠᎴ ᎥᏝ ᎿᏉ ᏔᎵᏁ ᎤᏃᎱᎪᏗ ᏱᎨᏎᏍᏗ ᎤᏒᎲᏍᏗᏱ ᏂᎦᏛ ᎤᏇᏓᎵ.
The rainbow will be in the cloud. I will look at it, that I may remember the everlasting covenant between God and every living creature of all flesh that is on the earth."	ᎠᎴ ᎤᎶᎩᎸ ᎤᏅᎪᎳᏖᏍᏗ; ᎠᎴ ᏕᎦᎦᏂᏍᎨᏍᏗ ᎾᏍᎩ ᎠᏆᏅᏗᏓᏍᏗᏱ ᎤᎵᏍᏆᏗᏍᏗ ᏂᎨᏒᎾ ᎧᏃᎮᏛ ᏚᎾᏠᎯᏍᏛ ᎤᏁᎳᏅᎯ ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ, ᎾᏍᎩ ᎤᏂᏇᏓᎵ ᏥᎩ, ᎾᏍᎩ ᎡᎶᎯ ᏣᏁᎭ.
God said to Noah, "This is the token of the covenant which I have established between me and all flesh that is on the earth."	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎴ ᏃᏯ, ᎯᎠ ᎾᏍᎩ ᎤᏰᎸᏛ ᎧᏃᎮᏛ ᏙᎦᏠᎯᏍᏛ ᎠᏴ, ᎠᎴ ᎾᏂᎥ ᎤᏂᏇᏓᎵ ᎡᎶᎯ ᏣᏁᎭ.
The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan.	ᏃᏯᏃ ᏧᏪᏥ, ᎾᏍᎩ ᏥᏳᎯ ᏧᎾᏣᎢᏎᎢ ᎯᎠ ᎾᏍᎩ ᏎᎻ, ᎭᎻ, ᏤᏈᏛᏃ; ᎭᎻᏃ ᎾᏍᎩ ᎨᎾᏂ ᎤᏙᏓ.
These three were the sons of Noah, and from these, the whole earth was populated.	ᎯᎠ ᏦᎢ ᎢᏯᏂᏛ ᏃᏯ ᏧᏪᏥ; ᎾᏍᎩᏃ ᏧᎾᏁᏢᏔᏅᎯ ᎡᎳᏂᎬ ᏚᎾᏁᎳᏗᏙᎴᎢ.
Noah began to be a farmer, and planted a vineyard.	ᏃᏯᏃ ᎿᏉ ᎤᎴᏅᎮ ᏠᎨᏏ ᏧᎸᏫᏍᏓᏁᎯ ᏄᎵᏍᏔᏁᎢ, ᎠᎴ ᏖᎸᎳᏗ ᏚᏫᏎᎢ;
He drank of the wine and got drunk. He was uncovered within his tent.	ᎠᎴ ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᎤᏗᏔᎮᎢ, ᎠᎴ ᎤᏴᏍᏓᎡᎢ; ᎠᎴ ᎤᏚᏞᏎ ᎦᎵᏦᏛᎢ.
Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside.	ᎭᎻᏃ, ᎨᎾᏂ ᎤᏙᏓ, ᎤᎪᎮ ᎤᏲᏓᎦ ᎨᏒ ᎤᏙᏓ, ᎠᎴ ᏫᏚᏃᏁᎴ ᎠᏂᏔᎵ ᎠᎾᎵᏅᏟ ᏙᏱᏗᏢ.
Shem and Japheth took a garment, and laid it on both their shoulders, went in backwards, and covered the nakedness of their father. Their faces were backwards, and they didn't see their father's nakedness.	ᏎᎻᏃ ᎠᎴ ᏤᏈᏛ ᎠᏄᏬ ᏭᏂᏁᏎᎢ, ᎠᎴ ᎤᎾᏃᎭᏢᏁᎢ, ᎠᎴ ᎤᎾᏏᏅᏎᎢ, ᎠᎴ ᎤᏄᏢᏁ ᎤᏲᏓᎦ ᎨᏒ ᎤᏂᏙᏓ; ᎠᎴ ᎤᏣᏘᏂ ᏭᎾᎦᏖᎢ ᎠᎴ ᎥᏝ ᏳᏂᎪᎮ ᎤᏲᏓᎦ ᎨᏒ ᎤᏂᏙᏓ.
Noah awoke from his wine, and knew what his youngest son had done to him.	ᏃᏯᏃ ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᎤᏗᏔᎲ ᎤᏓᏅᏘᏌᏁᎢ, ᎠᎴ ᎠᏥᏃᏁᎴ ᎣᏂ ᎡᎯ ᎤᏪᏥ ᏄᏩᏁᎸᎢ.
He said, "Canaan is cursed. He will be servant of servants to his brothers."	ᎯᎠᏃ ᏄᏪᏎᎢ, ᎠᏥᏍᎦᏨᎯ ᎨᏎᏍᏗ ᎨᎾᏂ; ᎤᏙᎯᏳᏒ ᎬᏩᏅᏏᏓᏍᏗᏉ ᎨᏎᏍᏗ ᎠᎾᎵᏅᏢᎢ.
He said, "Blessed be Yahweh, the God of Shem. Let Canaan be his servant.	ᎠᎴ ᎯᎠ ᏄᏪᏎᎢ, ᎦᎸᏉᏗᏳ ᎨᏎᏍᏗ ᏱᎰᏩ ᎤᏁᎳᏅᎯ ᏎᎻ ᎤᏤᎵᎦ; ᎠᎴ ᎨᎾᏂ ᎾᏍᎩ ᎤᏅᏏᏓᏍᏗ ᎨᏎᏍᏗ.
May God enlarge Japheth. Let him dwell in the tents of Shem. Let Canaan be his servant."	ᎤᏁᎳᏅᎯ ᏓᏳᏔᏃᎯᏍᏔᏂ ᏤᏈᏛ ᎠᎴ ᏎᎻ ᏚᎵᏦᏛ ᏓᏁᎳᏗᏍᎨᏍᏗ; ᎨᎾᏂᏃ ᎾᏍᎩ ᎤᏅᏏᏓᏍᏗ ᎨᏎᏍᏗ.
Noah lived three hundred fifty years after the flood.	ᏃᏯᏃ ᎤᏃᎱᎦᏅ ᎠᏏ ᏦᎢᏧᏈ ᎯᏍᎦᏍᎪᎯ ᏧᏕᏘᏴᏛ ᎤᎴᏂᏙᎴᎢ.
All the days of Noah were nine hundred fifty years, then he died.	ᏃᏯᏃ ᎢᎪᎯᏛ ᎤᎴᏂᏙᎸ ᏐᎣᏁᎳᏧᏈ ᎯᏍᎦᏍᎪᎯ ᏄᏕᏘᏴᎮᎢ; ᎿᏉ ᎤᏲᎱᏎᎢ.
Chapter 10	ᎠᏯᏙᎸᎢ 10
Now this is the history of the generations of the sons of Noah and of Shem, Ham, and Japheth. Sons were born to them after the flood.	ᏃᏯᏃ ᏧᏪᏥ, ᏎᎻ, ᎭᎻ, ᏤᏈᏛᏃ, ᎤᎾᏁᏢᏔᏅᏒ ᎯᎠ ᎾᏍᎩ ᏄᏍᏗ, ᎾᏍᎩ ᏧᏁᏥ ᎠᏂᏍᎦᏯ ᎬᏩᎾᏕᏁᎴ ᏚᏅᏬᏐᏅ.
The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.	ᎯᎠᏃ ᎾᏍᎩ ᏤᏈᏗ ᏧᏪᏥ; ᎪᎹ, ᎠᎴ ᎹᎪᎩ, ᎠᎴ ᎹᏓᏱ, ᎠᎴ ᏤᏆᏂ, ᎠᎴ ᏚᏆᎵ, ᎠᎴ ᎺᏏᎩ, ᎠᎴ ᏔᎳᏏ.
The sons of Gomer: Ashkenaz, Riphath, and Togarmah.	ᎯᎠᏃ ᎾᏍᎩ ᎪᎹ ᏧᏪᏥ; ᎡᏍᎩᎾᏏ, ᎠᎴ ᎵᏆᏗ, ᎠᎴ ᏙᎦᎹ.
The sons of Javan: Elishah, Tarshish, Kittim, and Dodanim.	ᎯᎠᏃ ᎾᏍᎩ ᏤᏆᏂ ᏧᏪᏥ; ᎢᎳᏌ, ᎠᎴ ᏔᏏᏏ, ᎠᏂᎩᏗ, ᎠᎴ ᎠᏂᏙᏓᏂ.
