Gospel of Matthew	ᎣᏍᏛ ᎧᏃᎮᏛ ᎹᏚ ᎤᏬᏪᎳᏅᎯ
for it is written, 'He will put his angels in charge of you, to guard you;'	ᎯᎠᏰᏃ ᏂᎬᏅ ᎢᎪᏪᎳ; ᏧᏤᎵ ᏗᏂᎧᎿᏩᏗᏙᎯ ᏙᏓᎧᏁᏤᎵ ᏗᎨᏣᎧᎾᏩᏗᏓᏍᏗᏱ ᎨᏣᏍᏆᏂᎪᏙᏗᏱ;
and, 'On their hands they will bear you up, lest perhaps you dash your foot against a stone.'"	ᎠᎴ ᏧᏃᏰᏂ ᎨᏣᏌᎳᏙᏗᏕᎨᏍᏗ, ᎾᏍᎩ ᎢᎸᎯᏳ ᏅᏲᎯ ᏣᎾᏍᏆᎶᏍᏙᏗᏱ ᏂᎨᏒᎾ.
Jesus answering, said to him, "It has been said, 'You shall not tempt the Lord your God.'"	ᏥᏌᏃ ᏧᏁᏨ ᎯᎠ ᏄᏪᏎᎴᎢ; ᎯᎠ ᎢᎦᏪᏛ ᎢᎩ; ᏞᏍᏗ ᏱᎰᏩ ᏣᏁᎳᏅᎯ ᎯᎪᎵᏰᎥᎩ.
When the devil had completed every temptation, he departed from him until another time.	ᎠᏍᎩᎾᏃ ᎤᏍᏆᏛ ᏂᎦᏛ ᎤᎪᎵᏰᏍᎬᎢ, ᎤᏓᏅᎡᎴ ᎢᎸᏍᎩ ᎢᎪᎯᏛ.
Jesus returned in the power of the Spirit into Galilee, and news about him spread through all the surrounding area.	ᏥᏌᏃ ᎠᏓᏅᏙ ᎤᏘᏂᏙᎲ ᎨᎵᎵ ᎢᎤᎷᏤᎢ; ᏕᎦᏃᏣᎸᏃ ᎾᎿ ᎬᏩᏚᏫᏛ ᏚᏰᎵᏏᏙᎴᎢ.
He taught in their synagogues, being glorified by all.	ᎠᎴ ᏓᏕᏲᎲᏍᎨ ᏧᏂᎳᏫᎢᏍᏗᏱ, ᎾᏂᎥᏃ ᎬᏩᎸᏉᏗᏳ ᎨᏎᎢ.
He came to Nazareth, where he had been brought up. He entered, as was his custom, into the synagogue on the Sabbath day, and stood up to read.	ᎾᏎᎵᏗᏃ ᎤᎷᏤ ᎾᎿ ᎠᎦᏛᎯᏍᏔᏅᎢ; ᎢᏳᏛᏁᏗᏃ ᎨᏒ ᏄᏛᏁᎴ ᏭᏴᎴ ᏗᎦᎳᏫᎢᏍᏗᏱ ᎤᎾᏙᏓᏆᏍᎬ ᎢᎦ, ᎠᎴ ᏚᎴᏁ ᏧᎪᎵᏰᏗᏱ ᎪᏪᎵ.
The book of the prophet Isaiah was handed to him. He opened the book, and found the place where it was written,	ᎠᏥᏅᏁᎴᏃ ᎪᏪᎵ ᎢᏌᏯ ᎠᏙᎴᎰᏍᎩ ᎤᏬᏪᎳᏅᎯ. ᎤᏍᏚᎢᏒᏃ ᎪᏪᎵ ᎤᏩᏛᎮ ᎯᎠ ᏂᎬᏅ ᎪᏪᎸᎢ;
"The Spirit of the Lord is on me, because he has anointed me to preach good news to the poor. He has sent me to heal the brokenhearted, to proclaim release to the captives, recovering of sight to the blind, to deliver those who are crushed,	ᎠᏓᏅᏙ ᏱᎰᏩ ᎤᏤᎵ ᏔᎵ ᎠᏆᏛᏓᏁᎵᏕᎦ ᏅᏗᎦᎵᏍᏙᏗ ᏣᎩᎶᏁᎥ ᎦᏥᏯᎵᏥᏙᏁᏗᏱ ᎣᏍᏛ ᎧᏃᎮᏛ ᎤᏲ ᎢᏳᎾᏛᎿᏕᎩ; ᏗᎩᏅᏒ ᏗᎦᏥᏅᏬᏗᏱ ᎤᏲ ᎤᎾᏓᏅᏔᏩᏕᎩ, ᎦᏥᏃᏁᏗᏱ ᎠᏂᏴᎩ ᎬᏩᎾᏚᏓᎴᏍᏗ ᎨᏒᎢ, ᎠᎴ ᏗᏂᎨᏫ ᎬᏩᏂᎪᏩᏛᏗ ᎨᏒᎢ, ᎠᎴ ᏗᎦᏥᏯᎪᏗᏱ ᏗᎨᏥᏂᏆᎶᏔᏅᎯ,
and to proclaim the acceptable year of the Lord."	ᎠᎩᏃᎮᎵᏓᏍᏗᏱ ᎠᏕᏘᏱᏍᎬ ᏱᎰᏩ ᏧᏓᏂᎸᎢᏍᏗ ᎨᏒᎢ.
He closed the book, gave it back to the attendant, and sat down. The eyes of all in the synagogue were fastened on him.	ᎤᏍᏚᏁᏃ ᎪᏪᎵ ᎠᎴ ᏫᎤᏅᏁᎴ ᎠᏥᏅᏏᏓᏍᏗ, ᎠᎴ ᎤᏪᏁᎢ. ᏂᎦᏛᏃ ᏗᎦᎳᏫᎢᏍᏗᏱ ᎠᏂᏯᎢ ᎤᏯᏅᏒᎯ ᏕᎬᏩᎧᎿᏁᎢ.
He began to tell them, "Today, this Scripture has been fulfilled in your hearing."	ᎠᎴ ᎤᎴᏅᎮ ᎯᎠ ᏂᏚᏪᏎᎴᎢ; ᎪᎯ ᎢᎦ ᏥᎩ ᎯᎠ ᎾᏍᎩ ᎪᏪᎸ ᎠᏙᎯᏳᎲᎦ ᎢᏣᏛᎩᏍᎬᎢ.
All testified about him, and wondered at the gracious words which proceeded out of his mouth, and they said, "Isn't this Joseph's son?"	ᏂᎦᏗᏳᏃ ᎬᏩᎸᏉᏗᏍᎨᎢ ᎠᎴ ᎠᏂᏍᏆᏂᎪᏍᎨ ᎾᏍᎩ ᏃᏒ ᎤᏬᏂᏒᎢ. ᎯᎠᏃ ᏄᏂᏪᏎᎢ, ᏝᏍᎪ ᎯᎠ ᎾᏍᎩ ᏦᏩ ᎤᏪᏥ ᏱᎩ?
He said to them, "Doubtless you will tell me this parable, 'Physician, heal yourself! Whatever we have heard done at Capernaum, do also here in your hometown.'"	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ; ᎠᏎ ᏓᏍᎩᏁᎢᏍᏓᏁᎵ ᎯᎠ ᎢᎦᏪᏍᏗ ᏥᎩ; ᏔᏓᏅᏫᏍᎩ, ᏨᏒ ᎭᏓᏅᏮᎦ; ᏂᎦᎥ ᏄᏍᏛ ᎣᎦᏛᎦᏅ ᏕᏣᎸᏫᏍᏓᏁᎸ ᎨᏆᏂ, ᎾᏍᎩ ᎾᏍᏉ ᎿᏛᎦ ᎠᏂ ᏣᏤᎵᎪᎯ.
He said, "Most certainly I tell you, no prophet is acceptable in his hometown.	ᎯᎠᏃ ᏄᏪᏎᎢ; ᎤᏙᎯᏳᎯᏯ ᎯᎠ ᏂᏨᏪᏎᎭ, ᎠᏙᎴᎰᏍᎩ ᎥᏝ ᏱᏓᎦᏓᏂᎸᎪ ᎤᏩᏒ ᎤᏤᎵᎪᎯ.
But truly I tell you, there were many widows in Israel in the days of Elijah, when the sky was shut up three years and six months, when a great famine came over all the land.	ᎠᏎᏃ ᎤᏙᎯᏳᎯᏯ ᎯᎠ ᏂᏨᏪᏎᎭ; ᎤᏂᏣᏖ ᏧᏃᏑᎶᏨᎯ ᎢᏏᎵᏱ ᎾᎯᏳ ᎢᎳᏯ ᏤᎮᎢ, ᎦᎸᎶᎢ ᏧᎵᏍᏚᎯ ᏦᎢ ᏧᏕᏘᏴᏛ ᏑᏓᎵᏃ ᎢᏯᏅᏙ, ᎾᎯᏳ ᎤᏣᏘ ᏥᏚᎪᏄᎶᎭ ᏂᎬᎾᏛᎢ.
Elijah was sent to none of them, except to Zarephath, in the land of Sidon, to a woman who was a widow.	ᎠᏎᏃ ᎥᏝ ᎢᎳᏯ ᏯᏥᏅᏎ ᎩᎶ ᏭᎷᏤᏗᏱ, ᎠᎨᏴ ᎤᏬᏑᎶᏨᎯ ᎤᏩᏒ, ᏌᎴᏓ ᎾᏍᎩ ᏌᏙᏂ ᎦᏚᎲ ᎦᏁᎳ.
There were many lepers in Israel in the time of Elisha the prophet, yet not one of them was cleansed, except Naaman, the Syrian."	ᎠᎴ ᎤᏂᏣᏖ ᎠᏁᎮ ᎠᏓᏰᏍᎩ ᏧᏂᏢᎩ ᎢᏏᎵᏱ ᎾᎯᏳ ᎢᎳᏏᏯ ᎠᏙᎴᎰᏍᎩ ᏤᎮᎢ; ᎠᏎᏃ ᎥᏝ ᎩᎶ ᏯᏥᏅᎦᎸᎡ, ᏁᎹᏂ ᏏᎵᏱ ᎡᎯ ᎤᏩᏒ.
They were all filled with wrath in the synagogue, as they heard these things.	ᏂᎦᏛᏃ ᏗᎦᎳᏫᎢᏍᏗᏱ ᎠᏂᏯᎢ ᎾᏍᎩ ᎯᎠ ᎤᎾᏛᎦᏅ ᎤᏂᎧᎵᏤ ᎤᏂᏔᎳᏬᏍᎬᎢ.
They rose up, threw him out of the city, and led him to the brow of the hill that their city was built on, that they might throw him off the cliff.	ᏚᎾᎴᏁᏃ ᎠᎴ ᎬᏩᏄᎪᏫᏎ ᎦᏚᎲᎢ, ᎠᎴ ᏭᏩᏝᎥ ᎤᏌᎯᎸ ᏫᎬᏩᏘᏅᏍᏔ ᎾᎿ ᎤᏂᏚᎲ ᎦᎧᎲᎢ, ᏗᎬᏩᎶᎥᏔᏂᏎᎢ
But he, passing through their midst, went his way.	ᎠᏎᏃ ᎤᎦᏛᎴᏎ ᎠᏰᎵ ᎠᏂᏙᎾᎥ ᎢᎬᏪᏅᏍᏔᏁᏉ;
He came down to Capernaum, a city of Galilee. He was teaching them on the Sabbath day,	ᎠᎴ ᎨᏆᏂ ᏭᎷᏤ ᎾᏍᎩ ᎨᎵᎵ ᎦᏚᎲᎢ, ᎠᎴ ᏕᎨᏲᎲᏍᎨ ᎤᎾᏙᏓᏆᏍᎬ ᎢᎦ ᏓᏍᏆᎸᎮᎬᎢ.
and they were astonished at his teaching, for his word was with authority.	ᎤᏂᏍᏆᏂᎪᏎᏃ ᏄᏍᏛ ᏓᏕᏲᎲᏍᎬᎢ, ᎤᎵᏂᎩᏗᏳᏰᏃ ᎧᏁᎨᎢ.
In the synagogue there was a man who had a spirit of an unclean demon, and he cried out with a loud voice,	ᏗᎦᎳᏫᎢᏍᏗᏱᏃ ᎠᏯᎡ ᎩᎶ ᎢᏳᏍᏗ ᎠᏍᎦᏯ ᎦᏓᎭ ᎠᏓᏅᏙ ᎠᏍᎩᎾ ᎤᏯᎢ, ᎠᎴ ᎠᏍᏓᏇ ᎤᏪᎷᏁᎢ,
saying, "Ah! what have we to do with you, Jesus of Nazareth? Have you come to destroy us? I know you who you are: the Holy One of God!"	ᎯᎠ ᏂᎦᏪᏍᎨᎢ, ᎣᎦᏁᎳᎩ; ᎦᏙ ᏗᎦᏓᏛᏙᏗ ᏂᎯ ᏥᏌ ᎾᏎᎵᏗ ᎮᎯ? ᏍᎩᏛᏔᏂᏄᏧ? ᎬᎦᏔᎭ ᏂᎯ ᎾᏍᎩ ᎨᏒᎢ-ᎦᎸᏉᏗᏳ ᎤᏁᎳᏅᎯ ᎤᏤᎵᎦ ᎨᏒᎢ
Jesus rebuked him, saying, "Be silent, and come out of him!" When the demon had thrown him down in their midst, he came out of him, having done him no harm.	ᏥᏌᏃ ᎤᏍᎦᏤᎢ, ᎯᎠ ᏄᏪᏎᎢ, ᎡᎳᏪ ᎲᎾ, ᎠᎴ ᎯᏄᎪᎢ ᎠᏍᎩᎾᏃ ᎠᏂᏅ ᎠᏰᎵ ᎤᏍᏢᏂᏍᏔᏅ ᎤᏄᎪᏤ ᎠᏍᎦᏲᎯ, ᎠᎴ ᎥᏝ ᎪᎱᏍᏗ ᏳᏩᏁᎴᎢ.
Amazement came on all, and they spoke together, one with another, saying, "What is this word? For with authority and power he commands the unclean spirits, and they come out!"	ᏂᎦᏛᏃ ᎤᏂᏍᏆᏂᎪᏎᎢ, ᎠᎴ ᎤᎾᎵᏃᎮᎴ ᎤᏅᏒ ᎨᏒ ᎯᎠ ᏂᏚᎾᏓᏪᏎᎴᎢ; ᎦᏙ ᎤᏍᏗ ᎧᏁᎢᏍᏗ ᎯᎠ? ᎤᏤᎵᎦᏯᏰᏃ ᎠᎴ ᎤᎵᏂᎩᏛ ᎨᏒ ᏕᎬᏗᎭ ᏕᎧᏁᏤ ᎠᏂᎦᏓᎭ ᏗᏓᏅᏙ, ᎠᎴ ᎠᏂᏄᎪᎦ.
News about him went out into every place of the surrounding region.	ᏕᎦᏃᏣᎸᏃ ᎾᎿ ᏂᎬᎾᏛ ᏚᏰᎵᏏᏙᎴᎢ.
He rose up from the synagogue, and entered into Simon's house. Simon's mother-in-law was afflicted with a great fever, and they begged him for her.	ᏚᎴᏅᏃ ᎤᏄᎪᏤ ᏗᎦᎳᏫᎢᏍᏗᏱ, ᏌᏩᏂᏃ ᎦᏁᎸ ᏭᏴᎴᎢ. ᏌᏩᏂᏃ ᎤᏓᎵᎢ ᎤᏥ ᎤᏣᏘ ᎤᏗᎴᎲᏍᎨᎢ; ᎬᏩᏔᏲᏎᎴᏃ ᎤᏍᏕᎸᏗᏱ.
He stood over her, and rebuked the fever; and it left her. Immediately she rose up and served them.	ᎦᏅᎬᏃ ᎾᎥ ᎤᎴᏁ, ᎠᎴ ᎤᏍᎦᏤ ᎤᏗᎴᎲᏍᎬᎢ, ᎤᏙᎣᎴᏃ ᎤᏗᎴᎲᏍᎬᎢ, ᎩᎳᏉᏃ ᎢᏴᏛ ᎤᏗᏛᎮ, ᎠᎴ ᏚᏍᏕᎸᎪᏙᎴᎢ.
When the sun was setting, all those who had any sick with various diseases brought them to him; and he laid his hands on every one of them, and healed them.	ᎠᎴ ᎿᏉ ᏭᏕᎵᎨ ᏅᏙ ᏂᎦᏛ ᏧᏓᎴᏅᏛ ᏧᏂᏢᎩ ᏧᏁᎯ ᏕᎬᏩᏘᏃᎮᎴᎢ, ᎠᎴ ᎠᏂᏏᏴᏫᎭ ᏚᏏᏔᏕ ᎠᎴ ᏚᏅᏩᏁᎢ
Demons also came out from many, crying out, and saying, "You are the Christ, the Son of God!" Rebuking them, he didn't allow them to speak, because they knew that he was the Christ.	ᎠᎴ ᎠᏂᏍᎩᎾ ᎾᏍᏉ ᎬᏩᏂᏄᎪᎨ ᎤᏂᏣᏖᎢ, ᎠᏁᎷᎲᏍᎨ ᎯᎠ ᎾᏂᏪᏍᎨᎢ; ᏂᎯ ᎦᎶᏁᏛ ᎤᏁᎳᏅᎯ ᎤᏪᏥ. ᏚᏍᎦᏤᏃ ᏚᏅᏍᏓᏕᎴ ᎤᏂᏁᎢᏍᏗᏱ; ᎠᏂᎦᏔᎮᏰᏃ ᎾᏍᎩ ᎦᎶᏁᏛ ᎨᏒᎢ.
When it was day, he departed and went into an uninhabited place, and the multitudes looked for him, and came to him, and held on to him, so that he wouldn't go away from them.	ᎠᎴ ᎿᏉ ᎤᎩᏨᏅ ᎤᏂᎨᏎ ᎠᎴ ᎢᎾᎨ ᏭᎶᏎᎢ; ᎤᏂᏣᏘᏃ ᎬᏩᏲᎴᎢ, ᎠᎴ ᎬᏩᎷᏤᎴᎢ, ᎠᎴ ᎬᏩᏗᎩᏯᏍᎨᎢ, ᏞᏍᏗ ᏍᎩᏯᏓᏅᎡᎸᎩ ᎬᏬᏎᎮᎢ.
But he said to them, "I must preach the good news of the Kingdom of God to the other cities also. For this reason I have been sent."	ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ; ᎠᏎ ᎾᏍᏉ ᏗᏐᎢ ᏕᎦᏚᏩᏗᏒ ᎦᏥᏯᎵᏥᏙᏁᏗ ᎠᎩᏃᎮᏗ ᎤᏁᎳᏅᎯ ᎤᎬᏫᏳᎯ ᎨᏒᎢ; ᎾᏍᎩᏰᏃ ᎢᏯᏆᏛᏁᏗᏱ ᏨᎩᏅᏒ.
He was preaching in the synagogues of Galilee.	ᎠᎴ ᎠᎵᏥᏙᎲᏍᎨ ᏗᎦᎳᏫᎢᏍᏗᏱ ᏓᏓᏁᎸ ᎨᎵᎵ.
Chapter 5	ᎠᏯᏙᎸᎢ 5
Now it happened, while the multitude pressed on him and heard the word of God, that he was standing by the lake of Gennesaret.	ᎯᎠᏃ ᏄᎵᏍᏔᏁᎢ, ᎾᏍᎩ, ᎤᏂᏣᏘ ᎬᏩᏜᏫᏍᏗᏕᎨ ᎤᎾᏛᎪᏗᏱ ᎧᏃᎮᏛ ᎤᎾᎳᏅᎯ ᎤᏤᎵᎦ, ᎨᏂᏏᎳᏗ ᎥᏓᎷᎶᏗ ᎦᏙᎨᎢ.
He saw two boats standing by the lake, but the fishermen had gone out of them, and were washing their nets.	ᏥᏳᏃ ᏔᎵ ᏚᎪᎮ ᎥᏓᎷᎶᏗ ᏓᏔᎴᎢ; ᎠᏂᎦᏯᎷᎥᏍᎩᏍᎩᏂ ᎤᎾᏣᎢᏛ ᎨᏎᎢ, ᎠᎴ ᏓᏅᎩᎶᏍᎨ ᎫᏂᎦᏯᎷᏗ.
He entered into one of the boats, which was Simon's, and asked him to put out a little from the land. He sat down and taught the multitudes from the boat.	ᏌᏉᏃ ᎠᏔᎸ ᏥᏳ ᎤᏣᏁᎢ ᎾᏍᎩ ᏌᏩᏂ ᎤᏤᎵᎦ ᎨᏎᎢ, ᎠᎴ ᎤᏔᏲᏎᎴ ᎤᏍᏗᎩᏛ ᎢᏴᏛ ᏭᎧᏙᏯᏍᏗᏱ. ᎤᏪᏁᏃ ᎠᎴ ᏚᏪᏲᏁ ᎤᏂᏣᏘ ᏥᏳᎢ ᎬᏩᏣᎢ.
When he had finished speaking, he said to Simon, "Put out into the deep, and let down your nets for a catch."	ᎿᏉᏃ ᎤᏲᎯᏍᏔᏅ ᎦᏬᏂᏍᎬ ᎯᎠ ᏄᏪᏎᎴ ᏌᏩᏂ, ᏗᏍᏛᎬ ᏫᏅᏍᏛ ᎠᎴ ᎡᎳᏗ ᏂᏗᏨᎦ ᏗᏥᎦᏯᎷᏗ ᏗᏥᏂᏴᏗᏱ.
Simon answered him, "Master, we worked all night, and took nothing; but at your word I will let down the net."	ᏌᏩᏂᏃ ᎤᏁᏤ ᎯᎠ ᏄᏪᏎᎴᎢ; ᏔᏕᏲᎲᏍᎩ ᎤᎵᏨᏓᏆᏛ ᏙᎩᎸᏫᏍᏓᏏ ᎥᏝᏃ ᎪᎱᏍᏗ ᏲᏥᏂᏴ; ᎠᏎᏃ ᏂᎯ ᏣᏁᏨ ᎢᏳᏍᏗ ᏓᎬᏂ ᎠᎦᏯᎷᏗ.
When they had done this, they caught a great multitude of fish, and their net was breaking.	ᎾᏍᎩᏃ ᏄᎾᏛᏁᎸ ᎤᏂᏣᏘ ᏚᏂᏂᏴᎮ ᎠᏣᏗ; ᎠᎴ ᎤᏂᎦᏯᎷᏗ ᏚᎾᎵᎦᎵᏎᎴᎢ
They beckoned to their partners in the other boat, that they should come and help them. They came, and filled both boats, so that they began to sink.	ᏚᎾᏁᎶᏥᏁᎴᏃ ᎤᎾᎵᎪᎯ ᏐᎢᏱ ᏥᏳᎯ ᎤᎾᏣᎢ ᏅᏓᎬᏩᏂᏍᏕᎸᎲᏍᏗᏱ. ᎤᏂᎷᏤᏃ, ᎠᎴ ᎢᏧᎳ ᏥᏳ ᏚᏂᎧᎵᎴᎢ, ᎾᏍᎩᏃ ᎿᏉ ᏕᎦᏃᏴᎨᎢ.
But Simon Peter, when he saw it, fell down at Jesus' knees, saying, "Depart from me, for I am a sinful man, Lord."	ᏌᏃᏂᏃ ᏈᏓ ᎤᎪᎲ ᎤᏓᏅᏁ ᏥᏌ ᏗᎧᏂᎨᏂ ᎾᎥᎢ, ᎯᎠ ᏂᎦᏪᏍᎨᎢ; ᏣᎬᏫᏳᎯ ᏍᏆᏓᏅᏏ, ᏥᏍᎦᎾᎯᏳᏰᏃ ᎠᏴ.
For he was amazed, and all who were with him, at the catch of fish which they had caught;	ᎤᏍᏆᏂᎪᏎᏰᏃ ᎠᎴ ᏂᎦᏛ ᎠᏁᎯ ᎤᏂᏍᏆᏂᎪᏎ ᏅᏗᎦᎵᏍᏙᏗᏍᎨ ᎾᏂᎥ ᎠᏣᏗ ᏚᏂᏂᏴᎲᎢ;
and so also were James and John, sons of Zebedee, who were partners with Simon. Jesus said to Simon, "Don't be afraid. From now on you will be catching people alive."	ᎠᎴ ᎾᏍᏉ ᏥᎻ ᎠᎴ ᏣᏂ ᏤᏈᏗ ᏧᏪᏥ ᎾᏍᎩ ᎤᎾᎵᎪᎯ ᏥᎨᏎ ᏌᏩᏂ. ᏥᏌᏃ ᎯᎠ ᏄᏪᏎᎴ ᏌᏩᏂ; ᏞᏍᏗ ᏣᏍᎦᎸᎩ; ᎪᎯ ᎢᏳᏓᎴᏅᏛ ᏴᏫ ᏘᏂᏱᏍᎩ ᎨᏎᏍᏗ.
When they had brought their boats to land, they left everything, and followed him.	ᎤᏩᏝᎥᏃ ᏚᏂᏔᎳᏗᎸ ᏥᏳ, ᏂᎦᏛ ᏚᏂᏲᏐᏁ ᎠᎴ ᎬᏩᏍᏓᏩᏛᏎᎢ.
It happened, while he was in one of the cities, behold, there was a man full of leprosy. When he saw Jesus, he fell on his face, and begged him, saying, "Lord, if you want to, you can make me clean."	ᎯᎠᏃ ᏄᎵᏍᏔᏁ ᎢᎸᎯᏢ ᎦᏚᎲ ᎡᏙᎲᎢ, ᎬᏂᏳᏉ ᎠᏍᎦᏯ ᏂᎬ ᎠᏓᏰᏍᎩ ᎤᏢᎩ ᎾᎿ ᎡᏙᎮᎢ; ᎾᏍᎩ ᏥᏌᎤᎪᎲ ᎤᏯᏍᏚᏎᎢ, ᎠᎴ ᎤᏔᏲᏎᎴ ᎯᎠ ᏄᏪᏎᎢ, ᏣᎬᏫᏳᎯ, ᎢᏳᏃ ᎣᏏᏳ ᏱᏣᏰᎸᏅ ᏰᎵᏉ ᏱᏍᎩᏅᎦᎸ.
He stretched out his hand, and touched him, saying, "I want to. Be made clean." Immediately the leprosy left him.	ᎤᏙᏯᏅᎯᏛᏃ ᎤᏒᏂᎴᎢ, ᎯᎠ ᏄᏪᏎᎢ; ᎣᏏᏳ ᏥᏰᎸᎾ; ᏣᏓᏅᎦᎸᏛ ᎨᏎᏍᏗ. ᎩᎳᏉᏃ ᎢᏴᏛ ᎠᏓᏰᏍᎩ ᎤᏢᎬ ᎤᏓᏅᎡᎴᎢ.
He commanded him to tell no one, "But go your way, and show yourself to the priest, and offer for your cleansing according to what Moses commanded, for a testimony to them."	ᎤᏁᏤᎴᏃ ᎩᎶ ᎤᏃᏁᏗᏱ ᏂᎨᏒᎾ; ᎮᎾᏉᏍᎩᏂ, [ᎤᏬᏎᎴᎢ,] ᏫᏯᏓᎾᏄᎪᏫᏏ ᎠᏥᎸ-ᎨᎶᎯ, ᎠᎴ ᎼᏏ ᎤᏁᏨ ᏣᏓᏅᎦᎸᎲ ᎠᎵᏍᎪᎸᏙᏗ ᏫᎲᎦ, ᎾᏍᎩ ᎤᎾᏙᎴᎰᎯᏍᏙᏗ.
But the report concerning him spread much more, and great multitudes came together to hear, and to be healed by him of their infirmities.	ᎠᏎᏃ ᎤᏟᏉ ᎢᎦᎢ ᏚᏰᎵᏎ ᎾᏍᎩ ᏕᎦᏃᏣᎸᎢ. ᎤᏂᏣᏘᏃ ᏚᏂᎳᏫᏦᎴ ᎤᎾᏚᎵᏍᎨ ᎤᎾᏛᎪᏗᏱ ᎠᎴ ᏧᏅᏬᏗᏱ ᏚᏂᏢᎬᎢ.
But he withdrew himself into the desert, and prayed.	ᎤᏓᏅᏎᏃ ᎢᎾᎨ ᏬᎶᏎ ᎠᎴ ᎠᏓᏙᎵᏍᏗᏍᎨᎢ.
It happened on one of those days, that he was teaching; and there were Pharisees and teachers of the law sitting by, who had come out of every village of Galilee, Judea, and Jerusalem. The power of the Lord was with him to heal them.	ᎢᎸᎯᏳᏃ ᎯᎠ ᏄᎵᏍᏔᏁᎢ, ᎾᎯᏳ ᏓᏕᏲᎲᏍᎨᎢ, ᎾᎿ ᎠᏂᏁ ᎠᏂᏆᎵᏏ ᎠᎴ ᏗᎧᎿᏩᏛᏍᏗ ᏗᏃᏏᏏᏍᎩ ᏕᎦᏚᏩᏗᏒ ᎨᎵᎵ ᏅᏓᏩᏂᎶᏒᎯ, ᎠᎴ ᏧᏗᏱ, ᎠᎴ ᏥᎷᏏᎵᎻ; ᎤᎬᏫᏳᎯᏃ ᎤᎵᏂᎬᎬ ᏚᎾᏗᏫᏍᏗᏍᎨᎢ.
Behold, men brought a paralyzed man on a cot, and they sought to bring him in to lay before Jesus.	ᎠᎴ ᎬᏂᏳᏉ ᎩᎶ ᎢᏳᎾᏍᏗ ᎠᏂᏍᎦᏯ ᎤᏂᏃᎴ ᎠᏤᏍᏙᎩᎯ ᎦᏅᎨ ᎠᏍᎦᏯ ᎤᎸᏓᎸᎥᏍᎩ; ᎤᎾᏁᎶᏔᏁᏃ ᎤᏂᏴᏔᏂᎯᏍᏗᏱ, ᎠᎴ [ᏥᏌ] ᎢᎬᏱᏢ ᎤᏂᏅᏁᏗᏱ.
Not finding a way to bring him in because of the multitude, they went up to the housetop, and let him down through the tiles with his cot into the midst before Jesus.	ᎤᎾᏠᏨᏃ ᎢᏳᎾᏛᏁᏗᏱ ᎤᏂᏴᏔᏂᎯᏍᏗᏱ ᎤᏂᏣᏘ ᎨᏒ ᎢᏳᏍᏗ, ᎦᏌᎾᎵ ᎤᎾᎩᎳᏫᏎᎢ, ᎾᎿᏃ ᏧᏂᎦᏛᎴᎯᏍᏔᏁ ᎤᎾᏠᎥᏔᏂᎴ ᎤᏤᏍᏙ ᎬᏩᏠᏯᏍᏗ ᎤᎾᏓᏡᎬ ᎠᏰᎵ, ᏥᏌ ᎢᎬᏱᏢ ᎤᏂᏅᏁᎴᎢ.
Seeing their faith, he said to him, "Man, your sins are forgiven you."	ᎤᏃᎯᏳᏒᏃ ᎤᏙᎴᎰᏒ, ᎯᎠ ᏄᏪᏎᎴᎢ; ᎯᏍᎦᏯ, ᏣᏍᎦᏅᏨ ᎡᏣᏙᎵᎩ.
The scribes and the Pharisees began to reason, saying, "Who is this that speaks blasphemies? Who can forgive sins, but God alone?"	ᏗᏃᏪᎵᏍᎩᏃ ᎠᎴ ᎠᏂᏆᎵᏏ ᎤᎾᏓᏅᏖᎴ ᎯᎠ ᏄᏂᏪᏎᎢ; ᎦᎪ ᎯᎠ ᎾᏍᎩ ᏣᏐᏢᎢᏍᏗᎭ? ᎦᎪ ᎬᏩᏓᏙᎵᏍᏗ ᎠᏍᎦᏅᏨᎢ? ᏝᏍᎪ ᎤᏁᎳᏅᎯ ᎤᏩᏒ?
But Jesus, perceiving their thoughts, answered them, "Why are you reasoning so in your hearts?	ᎠᏎᏃ ᏥᏌ ᎤᏙᎴᎰᏒ ᏄᏍᏛ ᏓᎾᏓᏅᏖᏍᎬᎢ, ᎤᏁᏤ ᎯᎠ ᏂᏚᏪᏎᎴᎢ; ᎦᏙ ᎢᏣᏓᏅᏖᎭ ᏙᏗᎶᏓᏅᏛᎢ?
Which is easier to say, 'Your sins are forgiven you;' or to say, 'Arise and walk?'	ᎦᏙ ᎤᏍᏗ ᎤᏟ ᎠᎯᏗᏳ ᎧᏁᎢᏍᏗᏱ, ᏣᏍᎦᏅᏨ ᎡᏣᏙᎵᎩ ᎠᏛᏗᏱ; ᎠᎴ ᎯᎠ ᎢᎦᏪᏍᏗᏱ, ᏔᎴᎲᎦ ᎠᎴ ᎮᏓ?
